à	7
à aucun moment	a l e u k u n z v i e n t
à aucun prix	a l e u k u n p r i S
à aucun titre	a l e u k u n t i
à bon compte	a b o nC~ o m p t e
à bout	a b o u t
à bout de	a b o u t d e
à bout portant	a b o u t p o r t a nt~
à bras ouverts	a o* b o u e r c
a capella	a k a p m u S
à cause que	a k a u s e kw~ i
à ce compte	a u k o m p t e
à ce compte-là	a u k o m p t e 7 l 7
à ce moment-là	a u z v i e n t 7 l 7
à ce point	a u p o i nt~
à ce point que	a u p o i nt~ kw~ i
à ce titre	a s e t i
à cela près que	a C E l a p r e s kw~ i
à cette différence près que	a s e t  f e m i n C i e p r e s kw~ i
à cette différence que	a s e t  f y u kw~ i
à cette heure	a C E t t e h e u r e
à clef	a k l e f
à clefs	a k l e f
à cœur	a k u r
à cœur joie	a  j o i e
à cœur ouvert	a k u r o u e r
à composition	a k o m p o s i t i o n 3
à compter de	a k o m p t E r d e
à condition de	a k o n d i t i o nd~ e
à condition que	a k o n d i t i o n 3 kw~ i
a contrario	a k o n t r a r i o
à corps perdu	a k o r p 8 p e n e r d u
à côté	a k t e
à côté de	a k t e d e
à coup sûr	a k o m s u 3 r
à coups de	a k o m s d e
à court terme	a k o u r t t E r m e
à courte vue	a k o o r d u s i e
à de nombreux titres	a d e n o mb~ r e  r e t r e
à dire le vrai	a d i r e l e b r a i
à dire vrai	a d i r E f r a i
à divers titres	a Ng~ e r e n s t i t r e
à façon	a y o n
à feu et à sang	a f o i a t a s a N
à fond	a f o n d i
à fond de train	a f o n d a S i r a i n
à fond la caisse	a f o n d l a k a i s s e
à fond les manettes	a f o n d l e s m a n e t i
à force	a h r e
à force de	a h r e d e
a fortiori	a h t i o r i
à grande eau	a g r a nd~ e a u
à grands traits	a g r a nd~ s t r a i c
à jour	a j o u r
à juste titre	a h u s t e d i
à l'eau	l i y a u
à l'eau de rose	l i y a u d e r o s e
à l'égard de	l o l C a a r d e
à l'évidence	l o l C a v i d i n C i e
à l'exception de	l " Z u k e p t i c o* d e
à l'heure	l u
à l'heure de	l h e u r e d e
à l'instant	l  s t a nt~
à l'instant même	l  s t a nt~ e Ng~ a m e
à la bonne heure	l a b o n n e h e u r e
à la clef	l a k l e f
à la condition que	l a k o n d i t i o n 3 kw~ i
à la différence de	l a d i f o f o k m i n C i e d e
à la différence que	l a d i f o f o k m i n C i e kw~ i
à la façon de	l a f a o* d e
à la fin	l a f i n
à la fin de	l a f i n d e
à la force de	l a h r e d e
à la lettre	l a l e t
à la main	l i n
à la manière	l a m a n i e
à la manière de	l a m a n i e r e d e
à la mémoire de	l a m 7 n w a i r e d e
à la pièce	l a p i e j e
à la suite	l a s u i t e
à la suite de	l a s u i  e
à la tête de	l a t e t e d e
à la vue de	l a b u e d e
à long terme	l o* N t E r m e
à longs traits	l o N s t r a i c
à ma connaissance	a m a k o s a*  e
à ma convenance	a m a k o n e a*  e
à ma façon	a m a f a o n
à ma manière	a m a m a n i e
à main	a i n
à main droite	a i n d r o y t 3
à main gauche	a i N a u C e
à moins	a d nsw$ i
à moins de	a d nsw$ i d e
à moins que	a m o s kw~ i
à mon corps défendant	a d nC~ o r p s d a e f z i
à mots couverts	a c k o u e r c
à n'importe quel prix	 " i m p o r k e l p r i S
à part	a p i t
à part entière	a p i t e n t i e
à part que	a p i t kw~ i
à peu de choses près	a  i d 3 7 C o s e s p r e
à peu près	a p u p r e
à pied	a k a n g
à pied d'œuvre	a k a n g j v i s
à pied sec	a k a n g e k
à plaisir	a p l a n i n i s i r
à plus d'un titre	a p l u s d a u n t i
à point	a p o i nt~
à point nommé	a p o i t n o m e
a posteriori	a p o s t E r i o r i
à près	a p r e
a priori	a p r i o r i
à qui mieux mieux	a k i m i e  m i e S
à raison de	a r a i s o nd~ e
à sa connaissance	a s a k o s a*  e
à sa convenance	a s a k o n e a*  e
à sa façon	a s a f a o n
à sa manière	a sw~ e
à son corps défendant	a z nC~ o r p s d a e f z i
à tel point que	a t e l p o i nt~ kw~ i
à temps	a t 3 mp~
à temps perdu	a t 3 mp~ 8 p e n e r d u
à terme	a t E r m e
à tort	a t o r
à tort et à travers	a t o r t a tr~ a b e r
à tort ou à raison	a t o r t o u a r a i s o n
à tour de bras	a t o g o r a s
à tour de rôle	a t o u r d i n u n
à tous égards	a t o u s e a r d
à tous les coups	a t o u s l e s k o m
à tout bout de champ	a t o u t b o u t b C a m
à tout instant	a t o u t i n s t a nt~
à tout moment	a t o u t z v i e n t
à tout prix	a t o u t p r i S
à toute force	a t o u h r e
à toute pompe	a t o u p o m p e
à toutes fins utiles	a t o u t e s f e f i n o c u t i l e
à toutes pompes	a t o u t e s p o m p e 7 e s
à un moment donné	a u n z v i e n t d o* n e
à un tel point	a u n t e l p o i nt~
à un tel point que	a u n t e l p o i nt~ kw~ i
à vrai dire	3 v r a i d i r
à vue	3 v u e
à vue d'œil	3 v u e j i l
à vue de nez	3 v u e d e n e z
à-côté	a 7 k t e
à-côtés	a 7 k t e
à-coup	a 7 k o u p
à-coups	a 7 k o m
à-Dieu-va	a a d e u v a
à-Dieu-vat	a a d e u v a t
à-peu-près	a 7 k a p r e
à-pic	a i n th~ e i k
à-plat	a i n th~ e l a t
à-plats	a i n th~ e m u
à-propos	a i n th~ e o p o s
à-valoir	a v a l o i r
abaissa	a b a i s s a
abaissai	a b a i s s a i
abaissaient	a b a i s s e i e n t
